%Annual average temperature anomalies from the Gulf of Maine
1981	-4.201929956462e-01
1982	-1.312919457412e-01
1983	4.080916038465e-01
1984	2.494394171172e-01
1985	3.382896548822e-02
1986	-2.013705983973e-01
1987	-6.943833075341e-01
1988	-5.210412972584e-01
1989	-2.767646143106e-01
1990	1.126138895417e-01
1991	4.056180625082e-02
1992	-7.646330425287e-01
1993	-2.579697279235e-01
1994	2.087215947547e-01
1995	1.153256777914e-03
1996	-8.539376468852e-01
1997	-3.557908390500e-01
1998	-3.951615017881e-01
1999	8.001344221197e-01
2000	4.585174645288e-01
2001	1.989627214801e-01
2002	6.992355834898e-01
2003	-1.866031743709e-01
2004	-7.634877015939e-01
2005	-7.815723569571e-02
2006	5.287154909592e-01
2007	-1.828386855193e-01
2008	1.572360472076e-01
2009	2.584645366397e-01
2010	8.833023413807e-01
2011	7.633029462005e-01
2012	2.067370356462e+00
2013	1.182291153834e+00
2014	1.138841399345e+00
2015	1.146184241270e+00
2016	1.597982816148e+00
2017	1.057331508094e+00
