%Monthly lobster landings (in pounds) in the state of Maine
%from Maines Department of Marine Resources (http://www.maine.gov/dmr/commercial-fishing/landings/index.html
%Month	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
1	9.035660000000e+05	1.306644000000e+06	1.240565000000e+06	6.708720000000e+05	1.098736000000e+06	1.206768000000e+06	1.283629000000e+06	1.199375000000e+06	1.349746000000e+06	1.430642000000e+06	1.347145000000e+06	1.381990000000e+06	2.584670000000e+06	2.560637000000e+06
2	5.475450000000e+05	5.890750000000e+05	5.855470000000e+05	2.241760000000e+05	5.349860000000e+05	4.300920000000e+05	3.490650000000e+05	3.641380000000e+05	7.838660000000e+05	5.778250000000e+05	9.313910000000e+05	4.248700000000e+05	1.076435000000e+06	7.962190000000e+05
3	4.744410000000e+05	4.552760000000e+05	6.113210000000e+05	1.824810000000e+05	4.091730000000e+05	3.557800000000e+05	3.729480000000e+05	5.087330000000e+05	6.098250000000e+05	6.913160000000e+05	8.016280000000e+05	8.574050000000e+05	9.717600000000e+05	9.010280000000e+05
4	1.068740000000e+06	1.075281000000e+06	8.972610000000e+05	3.964760000000e+05	9.569070000000e+05	8.491230000000e+05	1.141694000000e+06	8.797220000000e+05	1.249805000000e+06	1.520736000000e+06	1.288690000000e+06	1.263946000000e+06	1.740270000000e+06	1.314703000000e+06
5	2.263452000000e+06	2.410035000000e+06	1.816073000000e+06	1.553274000000e+06	2.253509000000e+06	2.142314000000e+06	2.535678000000e+06	2.427968000000e+06	2.726086000000e+06	2.937813000000e+06	3.181174000000e+06	2.624571000000e+06	3.255252000000e+06	2.714029000000e+06
6	3.973277000000e+06	2.743911000000e+06	4.270568000000e+06	1.998351000000e+06	2.236889000000e+06	2.321065000000e+06	4.783134000000e+06	3.526325000000e+06	9.328006000000e+06	4.706678000000e+06	3.490772000000e+06	3.885028000000e+06	7.573476000000e+06	3.248216000000e+06
7	6.070070000000e+06	5.397526000000e+06	1.092845400000e+07	7.688718000000e+06	9.404003000000e+06	9.734875000000e+06	1.756648400000e+07	1.664545200000e+07	2.607290300000e+07	2.462736600000e+07	1.260825400000e+07	1.416591500000e+07	2.494653800000e+07	1.450191700000e+07
8	1.217974800000e+07	1.007619200000e+07	1.353549100000e+07	1.561461500000e+07	1.466159600000e+07	1.688982900000e+07	2.031838200000e+07	2.729288400000e+07	2.543996000000e+07	3.330764800000e+07	2.944162900000e+07	2.869399800000e+07	2.489371800000e+07	2.843392000000e+07
9	1.426450700000e+07	1.312693000000e+07	1.341655800000e+07	1.191573100000e+07	1.434001200000e+07	1.689244900000e+07	1.654412000000e+07	2.036944300000e+07	2.239110000000e+07	2.212921900000e+07	2.651418400000e+07	2.454166300000e+07	2.127329600000e+07	1.802028400000e+07
10	1.302541900000e+07	1.469851200000e+07	1.622471700000e+07	1.278339500000e+07	1.339558100000e+07	1.539996200000e+07	1.830177600000e+07	1.822454500000e+07	1.982143200000e+07	2.187635700000e+07	2.719792800000e+07	2.188093600000e+07	2.229417700000e+07	1.925224900000e+07
11	1.218184800000e+07	1.260891900000e+07	8.652353000000e+06	7.243425000000e+06	8.073456000000e+06	1.048286300000e+07	9.944423000000e+06	9.735352000000e+06	1.308987600000e+07	9.705685000000e+06	1.191562700000e+07	1.543310500000e+07	1.525843900000e+07	1.412550600000e+07
12	4.621631000000e+06	4.241560000000e+06	3.166919000000e+06	3.704445000000e+06	2.543657000000e+06	4.469517000000e+06	3.067439000000e+06	3.750792000000e+06	4.458817000000e+06	4.297151000000e+06	5.607502000000e+06	7.289816000000e+06	4.976742000000e+06	4.951050000000e+06
