%Monthly lobster prices (in $US/pound) in the state of Maine
%from Maines Department of Marine Resources (http://www.maine.gov/dmr/commercial-fishing/landings/index.html
%Month	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
1	4.803664600000e+00	4.831351900000e+00	4.850157000000e+00	4.432486400000e+00	5.700777100000e+00	4.887110900000e+00	3.727150900000e+00	4.546328700000e+00	3.970749300000e+00	3.967712400000e+00	5.004704000000e+00	4.769358700000e+00	4.362329800000e+00	5.361036335880e+00
2	5.420228500000e+00	5.915161900000e+00	5.928680400000e+00	5.657786700000e+00	6.888453200000e+00	4.901267600000e+00	4.669113200000e+00	4.680082800000e+00	5.043072400000e+00	4.827065300000e+00	5.865078100000e+00	6.638089300000e+00	6.113100200000e+00	6.301668259612e+00
3	5.789402700000e+00	6.684457300000e+00	6.159718100000e+00	7.691847400000e+00	7.200184300000e+00	6.253462800000e+00	4.637104900000e+00	4.722088000000e+00	6.306214100000e+00	7.543343400000e+00	6.061675700000e+00	8.235613300000e+00	5.421650400000e+00	7.744337578854e+00
4	5.494736800000e+00	5.872707700000e+00	5.288544800000e+00	9.106339300000e+00	5.393781200000e+00	4.371350200000e+00	4.189444800000e+00	5.040280900000e+00	5.578285400000e+00	5.938002400000e+00	6.692293700000e+00	7.918431600000e+00	6.296137400000e+00	8.368453559473e+00
5	4.311594400000e+00	5.091877500000e+00	5.301036900000e+00	6.009941600000e+00	5.166812300000e+00	3.640939700000e+00	3.870388900000e+00	4.667260000000e+00	4.884231100000e+00	4.283341700000e+00	4.517428800000e+00	5.333370700000e+00	4.868588700000e+00	5.577383292515e+00
6	4.507701100000e+00	5.388261500000e+00	5.082040600000e+00	5.782533200000e+00	5.004821400000e+00	3.921066400000e+00	3.728197500000e+00	5.279121200000e+00	3.183510700000e+00	3.221391400000e+00	4.011907700000e+00	4.855891600000e+00	4.840199800000e+00	4.934411997232e+00
7	3.991241900000e+00	4.807870900000e+00	3.875522300000e+00	4.765258100000e+00	3.969598500000e+00	3.010561300000e+00	2.998313400000e+00	3.714937000000e+00	2.181210300000e+00	2.419865300000e+00	3.544023200000e+00	4.100328300000e+00	3.728271400000e+00	3.846389204958e+00
8	3.742451200000e+00	4.505576800000e+00	3.902246700000e+00	4.084236900000e+00	3.644550100000e+00	2.636344200000e+00	2.968574200000e+00	2.876243400000e+00	2.228815400000e+00	2.226323300000e+00	3.209129900000e+00	3.762520600000e+00	3.939136700000e+00	3.459881085689e+00
9	3.871375500000e+00	4.588631200000e+00	4.004016200000e+00	4.018656000000e+00	3.507840400000e+00	2.632499000000e+00	3.152759800000e+00	2.855404700000e+00	2.781938900000e+00	2.795313400000e+00	3.659875900000e+00	3.892397900000e+00	4.247576500000e+00	3.613900258176e+00
10	4.002031600000e+00	4.505085900000e+00	3.798989300000e+00	4.255802700000e+00	2.705409600000e+00	2.770253200000e+00	3.520687400000e+00	2.904686800000e+00	2.763884700000e+00	3.307664800000e+00	3.866960300000e+00	4.034219600000e+00	3.921434400000e+00	3.729002933631e+00
11	3.964625800000e+00	4.326351100000e+00	3.776839500000e+00	4.227638400000e+00	2.499522500000e+00	2.966811000000e+00	3.618813400000e+00	2.822739700000e+00	2.762984200000e+00	3.530064700000e+00	3.471020700000e+00	4.076967300000e+00	3.790939700000e+00	3.797106383304e+00
12	4.332862400000e+00	4.569883000000e+00	4.073814300000e+00	4.637089800000e+00	2.660407800000e+00	3.272582900000e+00	3.883180100000e+00	3.114237200000e+00	2.719425800000e+00	4.118955600000e+00	4.049483000000e+00	4.009263600000e+00	3.980824800000e+00	4.279964653962e+00
